n,k,d,v,q,FCFS,SJF,SRT,PRI_RR
100,1000,10,2,12,30.65,27.55,27.06,30.08
100,1000,20,5,25,429.41,335.89,335.70,432.62
100,1000,30,7,37,903.21,750.40,750.31,913.47
100,1000,40,10,50,1367.59,1133.94,1133.92,1386.64
100,1000,50,12,62,1848.16,1560.25,1560.22,1868.18
100,1000,60,15,75,2324.57,1960.36,1960.00,2349.06
100,1000,70,17,87,2802.65,2382.35,2382.24,2833.56
100,1000,80,20,100,3276.08,2781.03,2780.87,3318.09
100,1000,90,22,112,3758.05,3210.74,3210.74,3804.33
100,1000,100,25,125,4232.89,3608.91,3608.67,4281.77
100,1000,110,27,137,4717.94,4041.71,4041.70,4773.90
100,1000,120,30,150,5194.24,4443.34,4443.34,5256.64
100,1000,130,32,162,5676.09,4873.70,4873.70,5743.94
100,1000,140,35,175,6150.06,5274.30,5274.27,6226.26
100,1000,150,37,187,6631.90,5703.06,5702.88,6701.70
100,1000,160,40,200,7103.64,6099.56,6099.36,7172.21
100,1000,170,42,212,7591.87,6538.03,6537.95,7690.43
100,1000,180,45,225,8067.86,6937.26,6937.21,8171.94
100,1000,190,47,237,8545.24,7364.34,7364.12,8642.17
100,1000,200,50,250,9020.76,7763.64,7763.51,9124.67
100,1000,210,52,262,9503.05,8197.51,8197.26,9614.09
100,1000,220,55,275,9972.01,8590.59,8590.39,10105.82
100,1000,230,57,287,10456.20,9023.14,9022.29,10581.15
100,1000,240,60,300,10930.32,9421.64,9421.14,11059.64
100,1000,250,62,312,11416.78,9855.15,9854.84,11545.74
500,10000,20,5,25,151.37,117.08,116.12,157.73
500,10000,40,10,50,4910.19,3815.25,3814.81,4989.17
500,10000,60,15,75,9941.38,8014.64,8014.16,10075.52
500,10000,80,20,100,14967.87,12269.10,12267.01,15149.65
500,10000,100,25,125,19992.09,16544.92,16540.90,20249.91
500,10000,120,30,150,25025.44,20842.67,20838.16,25349.60
500,10000,140,35,175,30041.99,25131.39,25122.69,30452.62
500,10000,160,40,200,35042.08,29591.23,29590.58,35661.79
500,10000,180,45,225,40062.21,33901.64,33900.89,40758.52
500,10000,200,50,250,45077.34,38218.28,38217.04,45858.06
500,10000,220,55,275,50091.66,42535.15,42534.84,50957.82
500,10000,240,60,300,55110.06,46854.81,46853.05,56054.08
500,10000,260,65,325,60115.75,51162.62,51160.19,61146.98
500,10000,280,70,350,64600.90,55266.29,55265.72,65278.89
500,10000,300,75,375,69593.95,59576.56,59576.23,70319.25
500,10000,320,80,400,74567.53,63882.30,63881.78,75341.84
500,10000,340,85,425,80966.93,69191.14,69190.30,83020.68
500,10000,360,90,450,86028.50,73552.51,73551.66,88217.17
500,10000,380,95,475,91093.28,77921.99,77920.54,93425.50
500,10000,400,100,500,96156.43,82281.45,82280.58,98595.16
500,10000,420,105,525,99908.96,85094.05,85093.74,101316.70
500,10000,440,110,550,104896.29,89378.38,89378.23,106407.06
500,10000,460,115,575,109716.96,94292.84,94251.66,111716.57
500,10000,480,120,600,114709.89,98610.42,98566.93,116797.35
500,10000,500,125,625,119705.19,102928.62,102883.53,121875.62
500,5000,10,2,12,56.25,47.34,47.19,58.55
500,5000,20,5,25,2374.96,1877.85,1877.62,2402.68
500,5000,30,7,37,4867.82,4045.29,4045.18,4893.80
500,5000,40,10,50,7364.67,6137.62,6137.38,7428.00
500,5000,50,12,62,9874.42,8366.66,8366.47,9952.96
500,5000,60,15,75,12369.37,10460.24,10460.13,12473.61
500,5000,70,17,87,14866.91,12687.22,12686.94,14993.61
500,5000,80,20,100,17360.42,14783.40,14783.28,17506.33
500,5000,90,22,112,19867.90,17023.81,17023.61,20040.01
500,5000,100,25,125,22362.95,19125.49,19125.31,22553.40
500,5000,110,27,137,24851.37,21345.67,21345.59,25076.36
500,5000,120,30,150,26872.04,22851.39,22851.03,27262.56
500,5000,130,32,162,29335.41,25044.06,25043.80,29753.85
500,5000,140,35,175,31789.77,27091.01,27090.86,32249.00
500,5000,150,37,187,34255.57,29280.16,29280.08,34752.82
500,5000,160,40,200,36713.70,31328.82,31328.36,37245.17
500,5000,170,42,212,39174.45,33516.45,33516.24,39723.19
500,5000,180,45,225,41630.76,35565.50,35565.46,42212.75
500,5000,190,47,237,44098.69,37764.39,37764.31,44722.63
500,5000,200,50,250,46905.79,39715.79,39714.62,47684.04
500,5000,210,52,262,49382.08,41898.65,41897.20,50198.50
500,5000,220,55,275,51862.85,43951.44,43949.20,52724.67
500,5000,230,57,287,54347.63,46142.59,46139.67,55239.82
500,5000,240,60,300,56813.86,48175.62,48171.85,57759.72
500,5000,250,62,312,58905.10,49943.55,49936.85,58926.71
1000,10000,10,2,12,61.30,50.37,50.21,63.27
1000,10000,20,5,25,4656.38,3605.23,3605.00,4687.86
1000,10000,30,7,37,9623.24,7849.78,7849.59,9676.57
1000,10000,40,10,50,14576.74,11904.24,11904.11,14665.10
1000,10000,50,12,62,19541.17,16251.92,16251.74,19701.29
1000,10000,60,15,75,24496.20,20332.02,20331.64,24651.27
1000,10000,70,17,87,29013.45,24643.15,24642.91,29716.17
1000,10000,80,20,100,33883.35,28726.89,28726.19,34717.20
1000,10000,90,22,112,38802.73,33109.10,33104.00,39736.62
1000,10000,100,25,125,43672.02,37177.19,37168.18,44726.53
1000,10000,110,27,137,50068.96,41886.58,41846.99,50248.90
1000,10000,120,30,150,55107.76,45998.26,45954.50,55310.00
1000,10000,130,32,162,59166.20,50273.78,50273.60,59836.51
1000,10000,140,35,175,64147.01,54409.94,54409.79,64868.52
1000,10000,150,37,187,69104.24,58800.61,58800.18,69888.45
1000,10000,160,40,200,75035.91,63802.26,63802.07,75990.94
1000,10000,170,42,212,81275.13,68762.39,68762.17,82670.41
1000,10000,180,45,225,86371.66,72951.51,72951.25,87836.93
1000,10000,190,47,237,88528.35,75274.98,75272.60,89729.72
1000,10000,200,50,250,95723.84,80898.09,80897.93,97409.46
1000,10000,210,52,262,100752.93,85332.91,85331.61,102523.13
1000,10000,220,55,275,103227.89,87245.48,87184.94,104134.62
1000,10000,230,57,287,110545.70,94008.52,94005.92,111274.07
1000,10000,240,60,300,113855.73,96851.51,96851.38,114612.60
1000,10000,250,62,312,118822.15,101246.34,101246.21,119611.81
